,Raw counts,tf-ifd,PPMI,Raw counts dense,tf-ifd dense,PPMI dense
Precision_pulp,0.6122448979591837,0.8367346938775511,0.8673469387755102,0.6530612244897959,0.7040816326530612,0.7551020408163265
Recall_pulp,0.12244897959183673,0.1673469387755102,0.17346938775510204,0.1306122448979592,0.14081632653061224,0.1510204081632653
Accuracy_pulp,0.6623376623376623,0.6940836940836941,0.6984126984126984,0.6681096681096681,0.6753246753246753,0.6825396825396826
Error_pulp,0.33766233766233766,0.3059163059163059,0.30158730158730157,0.3318903318903319,0.3246753246753247,0.31746031746031744
F_measure_pulp,0.20408163265306123,0.27891156462585037,0.2891156462585034,0.217687074829932,0.2346938775510204,0.25170068027210885
Precision_princess_nokia,0.9206349206349206,0.6349206349206349,0.6825396825396826,0.8412698412698413,0.6031746031746031,0.746031746031746
Recall_princess_nokia,0.1895424836601307,0.13071895424836602,0.14052287581699346,0.17320261437908496,0.12418300653594772,0.15359477124183007
Accuracy_princess_nokia,0.7160493827160493,0.675645342312009,0.6823793490460157,0.7048260381593715,0.6711560044893379,0.691358024691358
Error_princess_nokia,0.2839506172839506,0.32435465768799104,0.3176206509539843,0.2951739618406285,0.3288439955106622,0.30864197530864196
F_measure_princess_nokia,0.3143631436314363,0.21680216802168023,0.23306233062330625,0.2872628726287263,0.20596205962059622,0.25474254742547425
Precision_at_the_drive_in,0.06493506493506493,0.4155844155844156,0.3116883116883117,0.18181818181818182,0.5844155844155844,0.4935064935064935
Recall_at_the_drive_in,0.015151515151515152,0.09696969696969697,0.07272727272727272,0.04242424242424243,0.13636363636363635,0.11515151515151516
Accuracy_at_the_drive_in,0.63544536271809,0.6850321395775941,0.6703397612488522,0.6519742883379247,0.7089072543617998,0.6960514233241506
Error_at_the_drive_in,0.36455463728191,0.3149678604224059,0.32966023875114786,0.3480257116620753,0.2910927456382002,0.3039485766758494
F_measure_at_the_drive_in,0.02457002457002457,0.15724815724815724,0.11793611793611791,0.0687960687960688,0.22113022113022113,0.18673218673218672
